run_dir,date_dir,scenario_guess,log_files_top_level,csv_files_recursive,png_files_recursive,avg_prr,avg_latency_ms,incident_applied_count,sionna_mentioned,in_chatgpt_exports,eva_drop_phy_total,eva_cam_drop_phy,eva_cpm_drop_phy,eva_ctrl_events_total,eva_drop_decision_match_ratio
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/chatgpt_exports/2026-02-21/eva-platoon-collision-proof3-131815/baseline,eva-platoon-collision-proof3-131815,v2v-emergencyVehicleAlert-nrv2x,1,8,9,0.901954,11.3007,1,0,1,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/chatgpt_exports/2026-02-21/eva-platoon-collision-proof3-131815/lossy,eva-platoon-collision-proof3-131815,v2v-emergencyVehicleAlert-nrv2x,1,8,9,0.624577,11.8773,1,0,1,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-18,scenario_runs,"cttc-nr-v2x-demo-simple,nr-v2x-west-to-east-highway,v2v-cam-exchange-sionna-nrv2x,v2v-coexistence-80211p-nrv2x",4,147,26,0.924245,0.49146,0,0,0,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-20,scenario_runs,"sionna_server_selftest_590,sionna_server_selftest_after_gpucomp",2,768,51,,,0,0,0,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-19/rssi-safety-smoke-181234/tx_11/cam,tx_11,v2v-cam-exchange-sionna-nrv2x,1,2,0,,,0,0,0,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-19/rssi-safety-smoke-181234/tx_11/eva,tx_11,v2v-emergencyVehicleAlert-nrv2x,1,47,1,0.910747,13.2552,1,0,0,0.0,0.0,0.0,0.0,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-20/eva-short-sionna-gpu-only-tx23-223837/tx_11/sionna,tx_11,v2v-emergencyVehicleAlert-nrv2x,1,42,4,0.931,15.2001,1,1,0,0.0,0.0,0.0,0.0,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/chatgpt_exports/2026-02-20/eva-short-sionna-gpu-only-tx23-223837/tx_11/sionna,tx_11,v2v-emergencyVehicleAlert-nrv2x,1,3,4,0.931,15.2001,1,1,1,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-20/eva-short-sionna-gpu-only-tx23-223837/tx_17/sionna,tx_17,v2v-emergencyVehicleAlert-nrv2x,1,42,4,0.943776,14.1921,1,1,0,0.0,0.0,0.0,0.0,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/chatgpt_exports/2026-02-20/eva-short-sionna-gpu-only-tx23-223837/tx_17/sionna,tx_17,v2v-emergencyVehicleAlert-nrv2x,1,3,4,0.943776,14.1921,1,1,1,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-19/eva-sionna-incident-sweep-195803/tx_23/non_sionna,tx_23,v2v-emergencyVehicleAlert-nrv2x,1,39,0,,,0,1,0,0.0,0.0,0.0,0.0,
